"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-01","66","79","59"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-02","73","76","71"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-03","73","78","58"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-04","62","72","48"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-05","56","72","43"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-06","59","79","47"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-07","69","81","57"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-08","64","70","50"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-09","56","68","45"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-10","63","76","58"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-11","71","80","63"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-12","66","71","50"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-13","53","63","42"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-14","49","62","34"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-15","58","73","43"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-16","70","76","63"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-17","70","80","63"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-18","71","79","51"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-19","58","72","46"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-20","53","53","48"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-21","51","53","48"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-01-22","52","61","40"
