STATION,NAME,DATE,TAVG
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01,57.9
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02,60.5
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03,67.2
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-04,68.1
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-05,76.7
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-06,85.1
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-07,87.8
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-08,91
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-09,85.3
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-10,72.2
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-11,61.3
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-12,57.3
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2024-01,50.8
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2024-02,61.9
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2024-03,66.6
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2024-04,72.8
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2024-05,79.3
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2024-06,
