"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-01","67","82","58"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-02","74","78","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-03","74","79","59"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-04","65","75","51"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-05","61","75","47"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-06","64","79","53"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-07","69","82","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-08","66","71","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-09","60","68","52"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-10","65","78","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-11","72","82","65"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-12","67","72","52"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-13","54","64","45"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-14","52","63","40"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-15","61","74","50"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-16","71","77","66"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-17","71","81","67"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-18","72","79","55"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-19","62","73","52"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-20","56","58","50"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-21","53","54","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-22","54","63","47"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-23","51","59","40"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-24","56","72","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-25","48","54","41"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-26","47","58","37"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-27","48","58","38"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-28","63","72","58"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-29","71","77","59"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-30","53","59","39"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-01-31","41","46","38"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-02-01","40","43","39"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-02-02","41","43","40"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-02-03","46","60","41"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-02-04","51","64","40"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-02-05","60","76","50"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-02-06","65","74","57"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-02-07","67","77","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-02-08","68","80","48"
