STATION,NAME,DATE,TAVG
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2023-01,60.7
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2023-02,62.8
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2023-03,69.4
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2023-04,70.6
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2023-05,79.1
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2023-06,85.9
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2023-07,88.3
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2023-08,91.2
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2023-09,86.4
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2023-10,73.9
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2023-11,62.9
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2023-12,59.2
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2024-01,52.5
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2024-02,62.9
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2024-03,67.9
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2024-04,73.8
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2024-05,80.7
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",2024-06,
